"Event","Circumstances","Some specification of the state of the world (at a particular time and place) which is specifically independent of the Event itself and any of its participants."
"Event","Degree","Some gradable attribute that modifies the expected value for it."
"Event","Depictive","Describes the Entity at the time of the Event."
"Event","Duration","The amount of time for which the Event is ongoing."
"Event","Explanation","A proposition from which, in many cases, the motivations or causes of the emergence of the Event are shown."
"Event","Frequency","The number of times the Event occurs per some unit of time."
"Event","Manner","Any description of the Event which is not covered by more specific FEs."
"Event","Means","An action through which the Entity or Cause accomplishes the Event indicated by the target."
"Event","Place","The location where the Event takes place."
"Event","Purpose","An action that the Entity intends to accomplish by performing the Event."
"Event","Result","The ultimate effect of the Event."
"Event","Time","The time when the Event occurs."
"Entity","Constituent_parts","Salient parts or substances that make up the Entity."
"Entity","Container_possessor","Some location containing the Entity."
"Entity","Creator","The individual or individuals that bring the Entity into existence."
"Entity","Descriptor","The characterization of a temporary condition of the Entity."
"Entity","Formational_cause","The indication of the causer or action which makes the Entity what it is."
"Entity","Inherent_purpose","The activity in which the Entity is supposed to take part."
"Entity","Material","Any indication of what makes up the Entity."
"Entity","Name","The term used to specify the Entity."
"Entity","Relative_location","The place relative to which the Entity is located."
"Entity","Time_of_creation","The time when the Entity comes into existence."
"Entity","Type","The indication of the type of the Entity."
"Entity","Use","The use for which the Entity is intended."
"Relation",	"Accessibility","An indication of how accessible the profiled Entity, Event or State is to some participant in the speech context. It normally describes availability for manipulation and use, but may simply describe how easily seen or difficult to see it is."
"Relation","Degree","A modifier expressing the extent to which the Relation occurs."
"Relation","Deixis","An indication of how the locative phrase relates to the grounding of the speech situation."
"Relation","Direction","The Direction from a reference location (generally, the deictic center) of a path to the profiled Entity, Event or State."
"Relation","Directness","An indication of how closely the position of the profiled Entity, Event or State matches the prototype expected from the schema associated with the target."
"Relation","Temporal_profile","A description of how the access path to the non-profiled Entity, Event or State interacts with time."
"Relation","Time","The time when the Relation takes place."
"Attribute","Circumstances","The state of the world (at a particular time and place) which is specifically independent of the Attribute itself."
"Attribute","Degree","A modifier expressing degree."
"Attribute","Explanation","A proposition from which the causes for the emergence of an Attribute are shown."
"Attribute","Manner","Any description of how the Attribute takes place which is not covered by more specific FEs."
"Attribute","Place","The location where the Entity has the Attribute."
"Attribute","Time","The time when the Entity is in the state of having a particular Attribute."
"State","Circumstances","The state of the world (at a particular time and place) which is specifically independent of the State itself and of any of its participants."
"State","Degree","The description of the degree to which the State holds."
"State","Duration","The length of time from the beginning of a State to its end."
"State","Explanation","Any object or event that brings about the State."
"State","Manner","Any description of the State which is not covered by more specific FEs."
"State","Place","The location where the State holds."
"State","Time","The time when the Entity is in the State."
