class_name,property_name,related_class
Action,has_participant,Agent
Classification,is_setting_for,Concept
Classification,is_setting_for,Entity
Classification,is_setting_for,TimeInterval
Collection,has_part,Collection
Collective,has_member,Agent
CollectiveAgent,acts_through,Agent
CollectiveAgent,is_introduced_by,Description
Concept,has_part,Concept
Concept,is_defined_in,Description
DesignedArtifact,is_described_by,Design
Event,has_constituent,Event
Event,has_part,Event
Event,has_participant,Object
Event,has_time_interval,TimeInterval
EventType,classifies,Event
Group,is_described_by,Plan
Object,has_constituent,Object
Object,has_location,Entity
Object,has_part,Object
Object,is_classified_by,Role
Object,is_participant_in,Event
ObjectAggregate,has_part,Collection
Parameter,classifies,Region
Parameter,has_part,Parameter
Parthood,includes_part,Entity
Parthood,includes_whole,Entity
PhysicalArtifact,is_described_by,Plan
PhysicalAttribute,is_region_for,PhysicalObject
PhysicalObject,has_part,PhysicalObject
Plan,has_component,Goal
PlanExecution,satisfies,Plan
Project,defines_role,Role
Project,defines_task,Task
Quality,has_constituent,Quality
Quality,has_part,Quality
Quality,has_region,Region
Quality,is_quality_of,Entity
Region,has_constituent,Region
Region,has_part,Region
Region,overlaps,Region
Region,precedes,Region
Role,classifies,Object
Role,has_part,Role
Situation,satisfies,Description
SocialAgent,acts_through,PhysicalAgent
SocialObject,has_part,SocialObject
SocialObject,is_expressed_by,InformationObject
SocialObjectAttribute,is_region_for,SocialObject
SpatioTemporalRegion,has_constituent,SpaceRegion
SpatioTemporalRegion,has_constituent,TimeInterval
Task,has_part,Task
Task,is_executed_in,Action
Task,is_task_defined_in,Description
Task,is_task_of,Role
Theory,has_component,Relation
TimeIndexedRelation,is_setting_for,TimeInterval
Transition,includes_event,Event
Transition,includes_object,Object
Transition,is_setting_for,Process
Transition,is_setting_for,Situation
UnitOfMeasure,parametrizes,Region
Workflow,defines_role,Role
Workflow,defines_task,Task
WorkflowExecution,satisfies,Workflow
